Abbr,Term
AAC,Advanced Audio Coding
AAM,Automatic Acoustic Management
AAS,as a service
AAS,Auto Area Segmentation
ABIOS,Advanced BIOS
ABP,AdBlock Plus
AC,Alternating Current
ACCT,Account
ACE,Access Control Entry
Ack,Acknowledgement
ACL,Access Control list
ACPI,Advanced Configuration and Power Interface
ACR,Absolute Cell Reference
ACID,"Atomicity, Consistency, Isolation, Durability"
ACL,Access Control List
ADC,Analog-to-Digital Converter
ADF,Automatic Document Feeder
ADSL,Asymmetric Digital Subscriber Line
AFP,Apple Filing Protocol
AGP,Accelerated Graphics Port
AIFF,Audio Interchange File Format
ALU,Arithmetic Logic Unit
ANSI,American National Standards Institute
API,Application Programming Interface
APU,Accelerated Processing Unit
ARP,Address Resolution Protocol
ASCII,American Standard Code for Information Interchange
ASP,Application Service Provider
ATM,Asynchronous Transfer Mode
ATX,Advanced Technology eXtended (a form factor for personal computer motherboards and power supplies)
AVR,Audio/Video Receiver
AWS,Amazon Web Services
Bash,Bourne-Again Shell
BASIC,Beginner's All-purpose Symbolic Instruction Code
BCC,Blind Carbon Copy
BGP,Border Gateway Protocol
BIOS,Basic Input/Output System
BLE,Bluetooth Low Energy
Blob,Binary Large Object
BMP,Bitmap
BSOD,Blue Screen of Death
BTX,Balanced Technology eXtended (a form factor for personal computer motherboards)
BYOA,Bring Your Own Apps
BYOC,Bring Your Own Cloud
BYON,Bring Your Own Network
BYOI,Bring Your Own Identity
BYOE,Bring Your Own Encryption
CAD,Computer-Aided Design
CAN,Campus Area Network
CD,Compact Disc
CPU,Central Processing Unit
CSS,Cascading Style Sheets
CSV,Comma Separated Values (file format)
DDL,Data Definition Language
ECC,Elliptic Curve Cryptography
ECC,Error-Correcting Code
FC-PGA,Flip-Chip Pin Grid Array
FD,Floppy Drive
FD,File Descriptor
FDC,Floppy Disk Controller
FDD,Floppy Disk Drive
FDDI,Fiber Distributed Data Interface
FDHP,Full Duplex Handshaking Protocol
Feat,Feature
FIFO,First In First Out
FIPS,Federal Information Processing Standards
FLAC,Free Lossless Audio Codec
FLOPS,Floating-Point Operations Per Second
FM,Frequency Modulation
FMV,Full Motion Video
FNBN,For Nerds By Nerds
FNEA,Full Name and E-mail Address
FNR,Format and Restore
FOAD,Fuck Off And Die
FOIA,Freedom of Information Act
FOIRL,Fiber-Optic Inter-Repeater Links
FORTRAN,Formula Translation
FOSS,Free and Open-Source Software
FPGA,Field-Programmable Gate Array
FPM,Fast Page Mode
FPROM,Field Programmable Read-Only Memory
FPS,Frames Per Second
FPS,First-Person Shooter
FPU,Floating-Point Unit
FQDN,Fully Qualified Domain Name
FR,Frame Relay
FRAM,Ferroelectric RAM
FRU,Field-replacable Unit
FS,File System
IDE,Integrated Development Environment
GBIC,Gigabit Interface Converter
Gbps,Gigabits per second
GCC,GNU Compiler Collection
GDDR,Graphics Double Data Rate
GDI,Graphics Device Interface
GDPR,General Data Protection Regulation
GEM,Graphics Environment Manager
GFS,Global File System
GFS,Google File System
GIGO,Garbage In Garbage Out
GIMP,GNU Image Manipulation Program
GIMPS,Great Internet Mersenne Prime Search
GIS,Geographic Information System
GIYF,Google Is Your Friend
GKS,Graphical Kernel System
Gmail,Google Mail
GNU,GNU's Not Unix
GPF,General Protection Fault
GPG,GNU Privacy Guard
GPL,General Public License
GPU,Graphics Processing Unit
GPT,GUID Partition Table
GUI,Graphical User Interface
HDD,Hard Disk Drive
IoT,Internet of Things
IP,Internet Protocol
ISP,Internet Service Provider
IT,Information Technology
LAN,Local Area Network
LCD,Liquid Crystal Display
NIC,Network Interface Card
PC,Personal Computer
RAM,Random Access Memory
SSD,Solid-State Drive
TPM,Trusted Platform Module
URL,Uniform Resource Locator
VPN,Virtual Private Network
VPS,Virtual Private Server
VRAM,video RAM
VRF,virtual routing and forwarding
VRM,vendor risk management
VRM,voltage regulator module
VRML,Virtual Reality Modeling Language
VRML,Virtual Reality Modeling Language
VRRP,Virtual Router Redundancy Protocol
VSA,virtual storage appliance
VSA,virtual SAN appliance
VSAM,Virtual Storage Access Method
VSAN,virtual storage area network
VSAT,Very Small Aperture Terminal
VSB,vestigial sideband
VSE,Visual Studio Express
VSM,virtual systems management
VSMP,virtual symmetric multiprocessing
VSP,vertical solutions provider
VSP,Virtual Storage Portal
VSPP,VMware Service Provider Program
VSTO,Visual Studio Tools for Office or Microsoft Visual Studio Tools
VSTS,Visual Studio Team System
VTAM,Virtual Telecommunications Access Method
VTL,virtual tape library
VUM,VMware vSphere Update Manager
VXLAN,Virtual Extensible LAN
VXLAN,gateway Virtual Extensible VLAN gateway
WAN,Wide Area Network
WWW,World Wide Web
