Hostname,IPv4,IPv6,MAC
ECHODOT,192.168.178.40,2003:f2:6705:a600:951f:94a0:9667:1342,3C:5C:C4:EE:DB:FD
HEIZUNG,192.168.178.21,,B8:74:24:25:2B:C8
MIAMI,192.168.178.26,2003:f2:6705:a600:82c1:6eff:fef1:b6bd,80:c1:6e:f1:b6:bd
PARIS,192.168.178.71,fe80::dea6:32ff:fe4b:c54d,dc:a6:32:4b:c5:4d
PI,192.168.178.36,2003:f2:6705:a600:6e62:6dff:fe3b:8765,6C:62:6D:3B:87:65
PRINTER,192.168.178.39,fe80::46d2:44ff:fe0d:ad4e,44:D2:44:0D:AD:4E
REPEATER,192.168.178.73,,22:37:12:76:E7:FC
SAT2IP,192.168.178.33,,00:11:05:FD:3F:59
SELDOVIA,192.168.178.52,fe80::8c13:5e35:c4ef:9271,D8:9E:F3:75:7D:28
SHELLY1,192.168.178.43,,98:F4:AB:D0:C1:A0
SOUNDBAR,192.168.178.34,2003:f2:6705:a600:56bd:79ff:fe2b:7026,54:BD:79:2B:70:26
SWITCH,192.168.178.2,fe80::6666:b3ff:fe16:46ac,64:66:B3:16:46:AC
TOLINO,192.168.178.26,,0C:62:A6:83:E5:3F
TV,192.168.178.20,,50:56:BF:7D:1A:98
WINDMILL,192.168.178.22,2003:f2:6705:a600:89d7:6754:5d:72ea,1C:1B:0D:2A:F7:FD
