Genre,Author,Quote
IQ,Thomas Edison,"Genius is one percent inspiration and ninety-nine percent perspiration."
Misc,Johann Wolfgang von Goethe,"Difficulties increase the nearer we get to the goal."
Misc,William Shakespeare,"Having nothing, nothing can he lose."
Misc,Albert Einstein,"Learn from yesterday, live for today, hope for tomorrow."
Misc,Michelangelo,"Faith in oneself is the best and safest course."
Misc,Sophocles,"It takes both sunshine and rain to make a rainbow."
Misc,Mahatma Gandhi,"We must become the change we want to see."
Misc,Johann Wolfgang von Goethe,"Knowing is not enough; we must apply!"
Misc,Immanuel Kant,"Science is organized knowledge. Wisdom is organized life."
Misc,Indira Gandhi,"You can't shake hands with a clenched fist."
Misc,Albert Einstein,"Try not to become a man of success, but rather try to become a man of value."
Misc,Pierre Auguste Renoir,"The pain passes, but the beauty remains."
Misc,Heraclitus,"All is flux; nothing stays still."
Misc,Japanese proverb,"The day you decide to do it is your lucky day."
Misc,Abraham Lincoln,"The best thing about the future is that it only comes one day at a time."
Misc,Epictetus,"We have two ears and one mouth so that we can listen twice as much as we speak."
Misc,Cervantes,"Be slow of tongue and quick of eye."
Misc,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them."
Misc,Nelson Mandela,"The greatest glory in living lies not in never falling, but in rising every time we fall."
Misc,Walt Disney,"The way to get started is to quit talking and begin doing."
Misc,John Lennon,"Life is what happens when you're busy making other plans"
Misc,Mother Teresa,"Spread love everywhere you go. Let no one ever come to you without leaving happier."
Misc,Benjamin Franklin,"Tell me and I forget. Teach me and I remember. Involve me and I learn."
Misc,Aristotle,"It is during our darkest moments that we must focus to see the light."
Misc,Anne Frank,"Whoever is happy will make others happy too."
Misc,Helen Keller,"Life is either a daring adventure or nothing at all."
Misc,Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years."
Misc,Albert Einstein,"Only a life lived for others is a life worthwhile."
Misc,Mae West,"You only live once, but if you do it right, once is enough."
Misc,Jonathan Swift,"May you live all the days of your life."
Misc,Hans Christian Andersen,"Life itself is the most wonderful fairy tale."
Misc,Mahatma Gandhi,"Live as if you were to die tomorrow. Learn as if you were to live forever."
Misc,Friedrich Nietzsche,"That which does not kill us makes us stronger."
Misc,Napoleon Hill,"If you cannot do great things, do small things in a great way."
Misc,Milton Berle,"If opportunity doesn’t knock, build a door."
Misc,Plato,"Wise men speak because they have something to say; fools because they have to say something."
Misc,Albert Einstein,"Strive not to be a success, but rather to be of value."
Misc,Mark Twain,"Whenever you find yourself on the side of the majority, it is time to pause and reflect."
Misc,Thomas Edison,"I haven’t failed. I’ve just found 10,000 ways that won’t work."
Misc,Lao Tzu,"A journey of a thousand leagues begins beneath one’s feet."
Misc,Ralph Waldo Emerson,"What you do speaks so loudly that I cannot hear what you say."
Misc,Charles Kettering,"Believe and act as if it were impossible to fail."
Misc,Jimmy Johnson,"The difference between ordinary and extraordinary is that little extra."
Misc,Alan Kay,"The best way to predict the future is to invent it."
Misc,Confucius,"Everything has beauty, but not everyone can see."
Misc,Theodore Roosevelt,"Believe you can and you’re halfway there."
Misc,Albert Einstein,"Imagination is everything. It is the preview of life’s coming attractions."
Misc,Norman Vincent,"Change your thoughts and you change your world."
Misc,Dalai Lama,"Happiness is not something ready made. It comes from your own actions."
Misc,Roy M. Goodman,"Remember that happiness is a way of travel, not a destination."
Misc,Les Brown,"Too many of us are not living our dreams because we are living our fears."
Misc,Booker T. Washington,"If you want to lift yourself up, lift up someone else."
Misc,George Eliot,"It is never too late to be what you might have been."
Misc,Albert Einstein,"A person who never made a mistake never tried anything new."
Misc,Chinese Proverb,"The person who says it cannot be done should not interrupt the person who is doing it."
Misc,Eleanor Roosevelt,"Great minds discuss ideas; average minds discuss events; small minds discuss people."
Misc,Mae West,"You only live once, but if you do it right, once is enough."
Misc,Mark Twain,"If you tell the truth, you don’t have to remember anything."
Misc,Martin Luther King Jr.,"Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that."
Misc,Lao Tzu,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."
Misc,Mother Teresa,"Peace begins with a smile."
Misc,Elbert Hubbard,"A friend is someone who knows all about you and still loves you."
Misc,Frank Zappa,"A mind is like a parachute. It doesn’t work if it isn’t open."
Misc,Chinese Proverbs,"The man who removes a mountain begins by carrying away small stones."
Misc,Les Brown,"Life has no limitations, except the ones you make."
Misc,Muhammad Ali,"Peace comes from within. Do not seek it without."
